"","V1","V2","V3","V4","V5","V6"
"result.81",0.293947349020203,2.12722212214932,2.10923804566947,2.0680147783482,26.4308762705166,32.5882238994994
"result.82",0.310192274287884,2.14200785401127,2.11443368880502,2.10142863719618,27.3329506920833,35.4927780801777
"result.83",0.319282838262259,2.1342832944627,2.12094697026356,2.12499320694733,26.7955519743272,33.3749028618748
"result.84",0.295450931186957,2.11095471489563,2.08221449854207,2.07082343888279,26.1894661356715,31.2085041873573
"result.85",0.301717919540452,2.12032098438685,2.12185444813566,2.1681834799459,28.479848214264,30.96855713613
"result.86",0.306908405963429,2.16205357936442,2.14127764845423,2.13230011433959,25.6256410763536,28.414022471611
"result.87",0.301972467404326,2.11582755058608,2.10449499175038,2.08523903360392,26.4741685709362,31.3686193122221
"result.88",0.300467871305916,2.15728059987715,2.13885392593293,2.23681532877605,29.8445536428606,34.2733610965997
"result.89",0.297907376451817,2.12952542527559,2.08132116664433,2.08992215899575,26.9301452454248,31.2132613350927
"result.90",0.345732642429672,2.14190079645091,2.12050122833817,2.15121371607454,27.496502670111,32.7665010636931
"result.91",0.30963433616029,2.14905751877752,2.11354653214245,2.173984567455,29.6435516193451,32.9465569973931
"result.92",0.307093187574685,2.14461412999325,2.10901261535912,2.15424309766153,26.881718060846,31.1166045617832
"result.93",0.339341363152091,2.18359241546933,2.14847910325191,2.17449448674341,27.569218095813,32.958524382529
"result.94",0.339327536612297,2.14219701793239,2.12356313047718,2.15719673993023,27.8012906499794,32.8231051094971
"result.95",0.299293212151555,2.11220933561253,2.08228916986707,2.0898841949471,25.8921143956448,30.9371620659455
"result.96",0.292804048314774,2.15139875505219,2.16331334600003,2.2295642428706,28.3570282716768,31.808424348505
"result.97",0.297202699300374,2.17264201008601,2.1469765549586,2.20483630497718,28.538735388587,33.8235684639463
"result.98",0.309497383550014,2.12829714922029,2.11718182240446,2.08837777334757,25.1688455052674,29.4096843613353
"result.99",0.302337030437315,2.15031226253059,2.11174301072483,2.10686703600248,27.2634455432488,30.2300270936439
"result.100",0.275422507916831,2.10627749151123,2.0870673177727,2.02588241358191,26.0584802925978,29.7931289800847
"result.101",0.330291235859609,2.22467298336682,2.1673580628172,2.17777592877385,26.2072160676012,33.2924994046547
"result.102",0.304415369332847,2.1611058737136,2.13743696674428,2.2070868649908,29.258367378687,36.6563849229321
"result.103",0.294489136127054,2.15049479031351,2.13721902845896,2.17311432419199,26.5573203798493,28.5930344737182
"result.104",0.323209458547738,2.10632515665511,2.08927129404346,2.10010950825597,26.6447763202663,32.8543999790951
"result.105",0.312302485186951,2.17714042064365,2.1435524282391,2.17368760095354,29.5977047900374,33.8766654487874
"result.106",0.336334747159832,2.16386877638486,2.14511626696739,2.1622195672269,26.7662451421896,32.6476721211295
"result.107",0.293240326471803,2.08168890811786,2.07450571837684,2.05780993714206,24.0484522852004,29.3350605010382
"result.108",0.319725586410894,2.19067013573256,2.14689045967617,2.16340371583933,28.6011848272649,34.2169867579158
"result.109",0.307841021480375,2.15532704227998,2.14276221924435,2.20358811809697,29.327772155622,32.2504338546176
"result.110",0.343845704193242,2.130307481683,2.12217811031445,2.15595531386516,27.2049036210089,38.1470784220993
"result.111",0.284832868389553,2.12089460159241,2.08986630981283,2.08772599807203,24.653044516818,29.5517530859711
"result.112",0.31077737636517,2.10941517915449,2.08247088721131,2.11333908991888,26.6608012702042,34.4671610053749
"result.113",0.290897090564176,2.13695844371861,2.10772780467327,2.15453368242621,30.1307437794239,33.4733543432997
"result.114",0.278200677645521,2.186859536586,2.15660455725255,2.21903283260585,29.0941356467654,31.8131630218616
"result.115",0.311498878051086,2.13496841749781,2.14160833002017,2.18887313997301,26.5504369823261,32.3733970061077
"result.116",0.335199230819136,2.11142185785319,2.08695771224965,2.12615531794939,26.4392279627028,33.1031172973838
"result.117",0.318931415593204,2.11336615812404,2.10903805312868,2.09507920047212,25.6963637777525,30.5983049102534
"result.118",0.286373905941639,2.12752066585635,2.11618793968888,2.16644445112574,29.949109109578,33.8395829673872
"result.119",0.294808416563729,2.19499300332406,2.17418037666976,2.18012867521592,27.3540542910791,30.3530528492919
"result.120",0.283437719985722,2.15591768893895,2.109129955977,2.18608357695399,27.5301208878366,31.8466005159106
"result.121",0.330930471854332,2.15276598081007,2.11277240400018,2.12075821099586,27.320106911045,33.0385167425973
