"","V1","V2","V3"
"result.71",2.35084531762342,4.94816785350863,34.6121898603282
"result.72",2.48350495750149,4.16380181921964,35.7238308108459
"result.73",2.30197470244851,4.3392542386838,33.1454984684202
"result.74",1.85467514759555,4.1176243192944,30.2266145296495
"result.75",1.80447798688597,4.05836906633362,28.4458416941686
"result.76",2.00523018977484,4.73005224023879,32.3740652027019
"result.77",2.26536840525118,5.38812176247388,46.4870127298614
"result.78",2.30598529545223,4.66602882804173,32.19102359709
"result.79",2.134056459317,3.56236117724934,38.9560044993961
"result.80",2.65206453343613,4.52799867919618,41.5263775694694
"result.81",2.54081604875868,5.71801785279885,35.4983018739345
"result.82",2.27506980604683,4.43293235353283,34.7699278794612
"result.83",2.43175984479101,4.04714410999361,35.9663373200149
"result.84",1.92470517585846,3.98542904608315,27.8749537579123
"result.85",NA,3.92247607266654,NA
"result.86",2.46201138641886,4.37191959835221,33.0733961111043
"result.87",2.13004990864931,4.5114526391345,33.295967087734
"result.88",2.14976100943906,4.39320946305146,35.1122970690827
"result.89",2.14313369910437,3.91243848617908,26.1320331885876
"result.90",1.97295832912832,4.18083917162931,30.029435581928
"result.91",2.29022232144619,3.59046487662792,33.6209074405929
"result.92",1.78423110432958,4.75275835643575,35.8104144260669
"result.93",1.81536753736877,3.79847382853911,33.4158425576656
"result.94",2.09055299501806,4.93236804270566,40.9975796993862
"result.95",2.32379907108482,3.89911762627514,33.1266017664997
"result.96",1.975214142986,4.63329026953817,36.5267501584585
"result.97",1.89172656116778,3.56699236296115,25.3787571463767
"result.98",1.97416050977579,3.84666496477668,31.6990020549258
"result.99",NA,4.45101696571847,NA
"result.100",NA,5.47108365323533,NA
"result.101",NA,3.82651147029766,NA
"result.102",2.03541158078148,3.72282196718068,29.1938425796997
"result.103",2.3584654577129,4.04070700599321,36.1805421775678
"result.104",2.28747267033639,4.78077499441509,36.6320683515544
"result.105",2.51914594303855,5.29360119602407,37.2171832150417
"result.106",NA,4.07402775087723,NA
"result.107",2.4613622285631,4.18283446177412,38.258464213551
"result.108",1.93575035869133,3.60666047062499,33.9325930445145
"result.109",2.53983156315949,4.26821204220679,36.3939082593652
"result.110",1.97046144719545,4.15788626349573,31.247118416873
"result.111",2.28742866901155,4.73102339149889,38.4692655646135
"result.112",2.61067525981425,4.4021088224122,35.0037023255683
"result.113",2.15292858897336,3.73383090069133,32.6949863194264
"result.114",1.80257239273432,4.68410244521911,36.0630404184303
"result.115",2.10932891931751,4.80162643844327,35.0905791638537
"result.116",2.42823509672953,3.5738375902765,30.186115379485
"result.117",2.07596683910518,4.08064227822827,30.987087650788
"result.118",2.2243854601179,4.17451103310712,27.876961450645
"result.119",1.96555170814228,4.09092578437111,26.2771013861146
"result.120",2.03544199451932,4.66806846052249,32.3769707739743
"result.121",2.23077102014381,3.73112581185682,38.6208977352632
"result.122",NA,4.33289778831591,NA
"result.123",1.84145289185717,4.01082896491504,30.8415997158938
"result.124",NA,4.1129995322814,NA
"result.125",1.97413596129651,5.04725674516434,41.2377470065605
"result.126",2.53530610562103,5.08794823127639,43.3440741658928
"result.127",1.98651219612688,5.13654007603973,28.7903951421427
"result.128",2.35281068004977,4.74301426389321,32.2836401864829
"result.129",1.78851894305002,3.8337864437542,23.4103582237347
"result.130",2.48463878393932,4.47577337266858,29.609396873291
"result.131",2.08813588167842,4.08556173996783,32.9238129987925
"result.132",2.58011627877864,4.14278031360403,36.5375124000383
"result.133",1.9351418218459,4.50828404633111,32.5643959303725
"result.134",NA,4.14097530372693,NA
"result.135",2.57255522788402,3.43916499863806,29.6771144416429
"result.136",2.37097097930604,4.0236463809855,35.177942916565
"result.137",2.26405670720485,4.04629599029308,37.0894032618157
"result.138",1.95419654989267,4.2440067151114,27.7561863194841
"result.139",2.2462215692135,5.37282660246195,35.6908775187734
"result.140",2.1316454300793,3.93828756093765,36.5243830348092
"result.141",2.01719414805508,3.81201877096848,33.223294011963
"result.142",1.66301201013199,3.87627007610188,32.8904410544008
"result.143",1.98522523881541,4.66694112719684,36.1231591884005
"result.144",2.84668298954427,4.46461738545021,31.2208672855746
"result.145",2.0223482620575,3.63476974364311,25.821593708307
"result.146",2.02132801442198,4.70621820215647,41.3069653169386
"result.147",NA,4.02461700639002,NA
"result.148",NA,4.04201725304512,NA
"result.149",2.36128422877393,4.48190566753156,35.0925730774153
"result.150",NA,4.34382944295417,NA
"result.151",2.08198169057497,4.32810699081361,28.2845173842004
"result.152",1.93213382730681,4.11278434738131,27.3310332581335
